-0.027 0.310
-0.005 0.300
0.017 0.190
0.039 -0.120
0.061 -0.380
0.083 -0.010
0.105 -0.100
0.127 -0.610
0.149 -0.300
0.171 0.140
0.193 -0.110
0.215 0.010
0.237 -0.920
0.259 -0.920
0.281 -0.820
0.303 -0.470
0.325 -0.050
0.347 -0.060
0.369 -0.220
0.391 -0.280
0.413 -0.700
0.435 -0.680
0.457 -0.710
0.479 -0.920
0.501 -0.920
0.523 -0.920
0.545 -0.460
0.567 -0.100
0.589 0.030
0.611 -0.520
0.633 -0.760
0.655 -0.920
0.677 -0.810
0.699 -0.070
0.721 -0.220
0.743 -0.100
0.765 -0.200
0.787 -0.120
0.809 0.150
0.831 -0.160
0.853 0.000
0.875 -0.230
0.897 -0.590
0.919 -0.530
0.941 -0.230
0.963 -0.300
0.985 -0.060
1.007 0.030
1.029 -0.140
1.051 -0.410
1.073 -0.180
1.095 -0.120
1.117 -0.080
1.139 -0.110
1.161 -0.200
1.183 -0.290
1.205 -0.010
1.227 -0.330
1.249 -0.920
1.271 -0.920
1.293 -0.690
1.315 -0.290
1.337 -0.320
1.359 -0.240
1.381 -0.210
1.403 0.000
1.425 -0.050
1.447 0.060
1.469 -0.020
1.491 -0.280
1.513 -0.300
1.535 -0.140
1.557 -0.050
1.579 0.010
1.601 0.000
1.623 0.110
1.645 0.120
1.667 -0.170
1.689 -0.240
1.711 -0.180
1.733 0.080
1.755 0.000
1.777 -0.020
1.799 -0.270
1.821 -0.150
1.843 -0.240
1.865 -0.240
1.887 -0.230
1.909 -0.060
1.931 0.060
1.953 0.060
1.975 -0.030
1.997 0.000
2.019 0.150
2.041 0.100
2.063 0.000
2.085 -0.030
2.107 -0.050
2.129 -0.150
2.151 0.020
2.173 0.200
2.195 0.130
2.217 0.150
2.239 0.120
2.261 -0.360
2.283 -0.430
2.305 -0.920
2.327 -0.460
2.349 -0.110
2.371 0.090
2.393 0.260
2.415 0.200
2.437 0.090
2.459 -0.010
2.481 -0.100
2.503 -0.060
2.525 0.130
2.547 0.130
2.569 0.160
2.591 0.010
2.613 -0.130
2.635 -0.010
2.657 -0.290
2.679 -0.830
2.701 -0.770
2.723 -0.920
2.745 -0.920
2.767 -0.350
2.789 0.000
2.811 0.230
2.833 -0.030
2.855 -0.180
2.877 0.020
2.899 0.080
2.921 -0.120
2.943 -0.290
2.965 -0.120
2.987 -0.030
3.009 -0.050
3.031 -0.100
3.053 -0.130
3.075 0.020
3.097 0.130
3.119 -0.080
3.141 -0.090
3.163 -0.130
3.185 -0.100
3.207 -0.060
3.229 -0.070
3.251 0.050
3.273 0.010
3.295 -0.090
3.317 -0.230
3.339 -0.470
3.361 -0.310
3.383 -0.260
3.405 -0.120
3.427 -0.030
3.449 -0.330
3.471 -0.120
3.493 0.030
3.515 0.130
3.537 0.010
3.559 -0.180
3.581 -0.130
3.603 -0.040
3.625 -0.020
3.647 0.130
3.669 0.060
3.691 0.090
3.713 0.000
3.735 0.120
3.757 0.090
3.779 0.130
3.801 0.060
3.823 -0.140
3.845 -0.030
3.867 0.110
3.889 -0.090
3.911 0.090
3.933 0.130
3.955 0.150
3.977 -0.110
3.999 0.020
4.021 0.270
4.043 0.170
4.065 -0.030
4.087 -0.100
4.109 0.120
4.131 -0.020
4.153 -0.140
4.175 0.040
4.197 0.160
4.219 -0.010
4.241 -0.080
4.263 0.050
4.285 0.010
4.307 0.110
4.329 0.050
4.351 0.050
4.373 -0.130
4.395 -0.170
4.417 -0.280
4.439 -0.190
4.461 0.090
4.483 0.080
4.505 -0.240
4.527 -0.180
4.549 0.080
4.571 0.040
4.593 0.090
4.615 0.050
4.637 -0.040
4.659 0.090
4.681 0.090
4.703 -0.050
4.725 0.170
4.747 0.250
4.769 -0.190
4.791 -0.470
4.813 -0.530
4.835 -0.440
4.857 -0.410
